id;issue_id;issue_order;issue_title;state;author;description;created_at;updated_at;closed_at;closed_by
1;95436;41835;function;false;Croatian Kuna Soft drive;New York toolset;2020-07-28T02:14:17;2020-07-28T08:47:03;2020-07-28T05:09:21;Buckinghamshire Liaison Fantastic
2;35921;22556;copy Cotton compress;true;ADP Manager Beauty;Berkshire Handcrafted Frozen Soap;2020-07-28T17:37:16;2020-07-28T14:04:46;2020-07-28T09:33:53;connecting Virgin Islands, British
3;17956;96722;calculate Steel;false;Burgs;driver Coordinator;2020-07-28T10:55:40;2020-07-28T07:23:27;2020-07-28T16:53:28;Enterprise-wide circuit Integration
4;47681;93679;ivory Manat;true;Agent;withdrawal;2020-07-28T03:29:02;2020-07-28T08:55:16;2020-07-28T20:59:21;benchmark holistic
5;14111;94405;Extension system-worthy Investment Account;false;sensor synthesizing Metal;web-enabled Stand-alone;2020-07-28T09:49:41;2020-07-28T21:49:33;2020-07-28T18:16:43;portals Security
6;88096;51532;sexy Pula intuitive;true;solid state Mississippi;Wooden;2020-07-28T09:05:30;2020-07-28T03:56:45;2020-07-28T15:55:36;Direct
7;54611;59746;e-business violet Forward;false;Tuvalu Cambridgeshire;sexy;2020-07-28T00:52:18;2020-07-28T10:21:36;2020-07-28T15:06:20;envisioneer Chips
8;72131;54043;Legacy;false;intranet;Avenue invoice;2020-07-28T21:41:42;2020-07-28T09:04:48;2020-07-28T12:56:27;calculating Awesome Cotton Bike
9;64403;10143;alliance embrace Facilitator;false;optical;open system Personal Loan Account;2020-07-28T01:54:15;2020-07-28T06:34:42;2020-07-28T02:04:47;unleash user-centric
10;12758;96511;B2B copying well-modulated;true;connecting Frozen;Steel cyan Wooden;2020-07-27T23:12:32;2020-07-28T01:19:12;2020-07-28T08:40:30;Advanced
